year,event,value
1968,Figure Skating,152
1920,Diving,152
1924,Diving,152
1928,Diving,152
2008,Wrestling,152
2004,Athletics,152
2012,Athletics,152
2016,Athletics,152
1992,Figure Skating,152
1994,Figure Skating,152
1998,Figure Skating,152
2016,Weightlifting,152
2004,Taekwondo,152
1988,Gymnastics,152
2004,Wrestling,152
2008,Gymnastics,152
2012,Gymnastics,152
2016,Sailing,152
2016,Judo,152
2004,Athletics,152
1984,Boxing,152
2016,Wrestling,152
1976,Gymnastics,152
1980,Hockey,152
2010,Biathlon,152
2000,Gymnastics,152
2016,Hockey,152
2008,Shooting,152
2012,Shooting,152
2004,Gymnastics,152
1992,Hockey,152
1996,Hockey,152
2000,Hockey,152
1988,Equestrianism,152
2004,Equestrianism,152
2008,Equestrianism,152
2012,Equestrianism,152
1960,Gymnastics,152
1964,Gymnastics,152
1998,Biathlon,152
1988,Athletics,152
2006,Figure Skating,152
2004,Athletics,152
2012,Athletics,152
2016,Athletics,152
2012,Football,152
2016,Weightlifting,152
1960,Fencing,152
1994,Short Track Speed Skating,152
1980,Football,152
1988,Gymnastics,152
1996,Gymnastics,152
1984,Gymnastics,152
1976,Weightlifting,152
2000,Hockey,152
2008,Hockey,152
2004,Football,152
1964,Gymnastics,152
2004,Gymnastics,152
2004,Gymnastics,152
2008,Gymnastics,152
2008,Gymnastics,152
1924,Curling,152
2002,Figure Skating,152
2006,Figure Skating,152
1988,Athletics,152
1996,Gymnastics,152
1992,Figure Skating,152
2016,Hockey,152
1996,Diving,152
2008,Table Tennis,152
1996,Gymnastics,152
1976,Weightlifting,152
1980,Hockey,152
1980,Boxing,152
2016,Weightlifting,152
2016,Hockey,152
1988,Athletics,152
2000,Gymnastics,152
1964,Speed Skating,152
1932,Modern Pentathlon,152
2000,Weightlifting,152
2004,Weightlifting,152
2000,Gymnastics,152
2004,Gymnastics,152
2004,Shooting,152
2006,Freestyle Skiing,152
2010,Freestyle Skiing,152
1972,Figure Skating,152
1976,Figure Skating,152
1980,Figure Skating,152
1968,Fencing,152
1972,Fencing,152
1976,Fencing,152
1980,Fencing,152
1980,Shooting,152
1968,Rowing,152
1972,Rowing,152
1976,Rowing,152
1968,Diving,152
1988,Gymnastics,152
1994,Figure Skating,152
1998,Figure Skating,152
1960,Athletics,152
1992,Figure Skating,152
1994,Figure Skating,152
1964,Wrestling,152
1932,Weightlifting,152
2002,Figure Skating,152
2016,Athletics,152
1992,Athletics,152
2012,Fencing,152
2016,Fencing,152
1976,Gymnastics,152
1988,Gymnastics,152
1988,Gymnastics,152
2000,Athletics,152
1976,Wrestling,152
1980,Hockey,152
2012,Weightlifting,152
2004,Judo,152
2012,Weightlifting,152
2016,Weightlifting,152
2014,Short Track Speed Skating,152
1994,Figure Skating,152
2010,Biathlon,152
1928,Wrestling,152
1932,Wrestling,152
1984,Figure Skating,152
2008,Athletics,152
1984,Gymnastics,152
1988,Gymnastics,152
1996,Boxing,152
2014,Ski Jumping,152
1964,Speed Skating,152
2000,Gymnastics,152
